Sr.No ,Questions ,Answers ,Department ,Sub-Department ,Remarks ,Status
1961,Can I chat with an agent before buying Shop Insurance?,"Yes, you can likely chat with an agent from Choice Insurance Broking Firm before purchasing shop insurance.",Insurance,Shop and Home Insurance,,
1962,Can I buy insurance for my rented shop through Choice Insurance Broking Firm?,"Yes, you can buy Shop Insurance for your rented shop. As a tenant, you can insure the contents of the shop such as stock, equipment, furniture, and fixtures. While the building structure is typically the landlord's responsibility, your policy can still cover damages to your business assets due to fire, theft, natural calamities, and other insured events. It’s important to inform the insurer that the premises are rented to ensure accurate coverage.",Insurance,Shop and Home Insurance,,
1963,Does Home Insurance cover temporary accommodation?,"Yes, Home Insurance typically includes coverage for temporary accommodation costs if your home becomes uninhabitable due to a covered event. This coverage, often referred to as ""loss of use"" or ""alternative accommodation,"" helps pay for living expenses, like renting a temporary residence, while your home is being repaired or rebuilt.",Insurance,Shop and Home Insurance,,
1964,Is mold or damp covered in home insurance?,"Most homeowner and renters policies cover sudden and accidental water damage. Examples would include a burst pipe, toilet overflow, or broken washer hose. If mold develops on a damaged item, it would be covered. Policies usually won't cover damage from gradual leaks.",Insurance,Shop and Home Insurance,,
1965,Does Shop Insurance cover damages from nearby construction work?,"Shop Insurance usually does not cover damages from nearby construction work under standard policies. However, if the policy includes specific add-ons for third-party damage or accidental external impact, such claims might be considered. Coverage depends on the cause, nature of damage, and policy terms. It's best to review your policy or consult your insurer to confirm if such risks are covered.",Insurance,Shop and Home Insurance,,
1966,What if my home is damaged by a tree fall during storm?,"If your home is damaged by a tree fall during a storm, it is usually covered under home insurance, as most policies include protection against natural calamities. The insurer may pay for structural repairs and tree removal, unless the fall was due to negligence or caused no damage. Always report the incident promptly and keep evidence for your claim.",Insurance,Shop and Home Insurance,,
1967,Is my shop covered if riots damage it?,"Yes, in most cases, shop insurance will cover damage to your shop caused by riots. Many policies specifically include riot, strike, and malicious damage as covered perils. This means your shop's physical structure and contents will be protected against damage resulting from riots.",Insurance,Shop and Home Insurance,,
1968,Can I transfer Home Insurance to the new owner?,"Yes, you can generally transfer home insurance when selling your property, but it's not a simple automatic process. The new owner typically needs to take over the policy, which involves notifying the insurance company and potentially undergoing a new appraisal and underwriting process.",Insurance,Shop and Home Insurance,,
1969,What happens if I forget to renew my insurance?,"If you don't renew your insurance, you risk losing coverage, potentially facing financial burdens if you're involved in an accident, and may lose accumulated benefits like No Claim Bonus. Additionally, in some cases, driving without valid insurance can lead to legal consequences, such as fines or license suspension.",Insurance,Shop and Home Insurance,,
1970,Can I cancel my Home Insurance policy mid-term?,"Yes, you can generally cancel a home insurance policy mid-term. However, there may be a cancellation fee and the refund amount may be based on a short-rate premium, not a full pro-rata refund. You should also be aware that some insurers might charge a fee if you cancel within a specific period after the policy starts.",Insurance,Shop and Home Insurance,,
1971,Is underinsurance a risk?,"Yes, underinsurance is a significant risk. It refers to having insufficient insurance coverage to adequately protect your assets and financial needs in the event of a loss. The primary risk is that underinsurance provides a false sense of security, leaving you vulnerable to financial hardship if a loss occurs.",Insurance,Shop and Home Insurance,,
1972,What is reinstatement value in insurance?,"In insurance, reinstatement value refers to the replacement cost of a damaged or lost property, without any deductions for depreciation or wear and tear. It's a clause in some insurance policies, particularly fire insurance, that ensures the insured can restore their property to its pre-loss condition by paying the full replacement cost of a new asset of the same type.",Insurance,Shop and Home Insurance,,
1973,How long does a policy remain valid?,"A policy's validity period, or policy period, is determined by the type of insurance and the specific plan chosen. For example, auto insurance policies often have a one-year term, while term life insurance policies can range from five to thirty years. Some policies are renewable, allowing the policyholder to extend coverage beyond the initial term.",Insurance,Shop and Home Insurance,,
1974,Can I pay home insurance premiums in installments?,"Usually no, but some long-term plans allow it.",Insurance,Shop and Home Insurance,,
1975,Is GST applicable on insurance premium?,GST is applicable to all insurance policies in India since insurance is a service. Policyholders pay GST on their insurance premium. The GST rates applicable depend on the type of insurance policy and are subject to prevailing tax laws.,Insurance,Shop and Home Insurance,,
1976,What factors affect Home Insurance premium?,"Several factors influence home insurance premiums, including the home's location, age, and construction type, as well as the presence of security features and the homeowner's credit score. The replacement cost of the home, the type and amount of coverage, and the deductible amount also play a significant role. Additionally, claim history and the distance to a fire station can affect the premium.",Insurance,Shop and Home Insurance,,
1977,How is Shop Insurance premium calculated?,"Shop insurance premiums are calculated based on a variety of factors, including the type and size of the shop, its location, the value of the stock and equipment, the coverage options chosen, and the extent of risk associated with the business. The premium is essentially a reflection of the risk that the insurer is taking on by covering the shop.",Insurance,Shop and Home Insurance,,
